#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Ghost Walk	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:2 ki use. Ethereal Jaunt.																												SOURCEPAGE:CAd										
Ghost Warrior	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Giant Blood	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:SS										
Giantslayer	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Gibber	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Will DC %1|GibberDC				DEFINE:GibberDC|10+(HD/2)+CON																								SOURCEPAGE:Mon										
Gift of Language	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|GiftOfLanguagePerDay				DEFINE:GiftOfLanguagePerDay|0																								SOURCEPAGE:PH										
Gifted Orator	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:RLCoD										
Gilt Tongued	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:DD										
Glacial Ray	CATEGORY:Special Ability	TYPE:PsiLike.SpecialAttack	VISIBLE:YES																AUTO:EQUIP|Glacial Ray													SOURCEPAGE:Fro										
Glacier Bond	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Glare of the Pit	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day, 2 rays, 100-ft range, 8d6 fire damage|GlareOfThePitPerDay				DEFINE:GlareOfThePitPerDay|0																								SOURCEPAGE:CA										
Glide on Earth	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Glory of the Divine	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality.ModifyAC	VISIBLE:YES								BONUS:COMBAT|AC|max(CHA,0)|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0																					SOURCEPAGE:MoF										
Glory of the Martyr (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:GloryOfTheMartyrPerDay|0	DEFINE:GloryOfTheMartyrLVL|0										SPELLS:Innate|TIMES=GloryOfTheMartyrPerDay|CASTERLEVEL=GloryOfTheMartyrLVL|Glory of the Martyr,14+CHA													SOURCEPAGE:EXD										
Glyph Mastery	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LoM										
Glyph of Warding	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:add Glyph of Warding to the list																												SOURCEPAGE:CA										
Glyph of Warding (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:GlyphOfWardingLVL|0	DEFINE:GlyphOfWardingPerDay|0										SPELLS:Innate|TIMES=GlyphOfWardingPerDay|CASTERLEVEL=GlyphOfWardingLVL|Glyph of Warding,13+CHA													SOURCEPAGE:LoM										
Goblinkiller	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day (%2 rounds)|GoblinkillerPerDay|GoblinkillerDuration				DEFINE:GoblinkillerPerDay|0	DEFINE:GoblinkillerDuration|0																							SOURCEPAGE:PGtF										
Graft Mastery	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES					DEFINE:GraftMastery|0			BONUS:ABILITYPOOL|Graft Flesh|GraftMastery																					SOURCEPAGE:LoM										
Graft Reserve	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LoM										
Grafted Armor	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Grant Move Action	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality.ModifyMovement	VISIBLE:YES	DESC:%1/day|GrantMoveActionPerDay				DEFINE:GrantMoveActionPerDay|0																								SOURCEPAGE:CAd										
Grease	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:%1 rnd (Ref RC %2)|GreaseDuration|GreaseDC				DEFINE:GreaseDuration|0	DEFINE:GreaseDC|10+(HD/2)+CON			BONUS:VAR|GreaseDC|2|PREFEAT:1,Ability Focus(Grease)																				SOURCEPAGE:MM2										
Great Ally	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Great Leap	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES									BONUS:SKILL|Jump|25																				SOURCEPAGE:MM2										
Great Leap (Su)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CAd										
Great Oratory ~ Base	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Great Oratory																												SOURCEPAGE:CD										
Great Potion	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:%1 level|GreatPotionLVL				DEFINE:GreatPotionLVL|0																								SOURCEPAGE:MoF										
Greater Banemagic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day|GreaterBanemagicPerDay				DEFINE:GreaterBanemagicPerDay|0																								SOURCEPAGE:LoM										
Greater Charged Item Drain	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Greater Curse of Lycanthropy	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Greater Dispelling (Sp at will)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:GreaterDispellingLVL|0												SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=GreaterDispellingLVL|Dispel Magic (Greater)												SOURCEPAGE:MM2										
Greater Dragonsong	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day|GreaterDragonsongPerDay				DEFINE:GreaterDragonsongTimes|0	DEFINE:GreaterDragonsongDC|0																							SOURCEPAGE:Drac										
Greater Endurance	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:SKILL|Swim (Avoid taking nonlethal fatigue damage)|4|TYPE=Sacred																					SOURCEPAGE:PGtF										
Greater Glyph of Warding	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:add Greater Glyph of Warding to the list																												SOURCEPAGE:CA										
Greater Glyph of Warding (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:GreaterGlyphOfWardingLVL|0	DEFINE:GreaterGlyphOfWardingPerDay|0										SPELLS:Innate|TIMES=GreaterGlyphOfWardingPerDay|CASTERLEVEL=GreaterGlyphOfWardingLVL|Glyph of Warding (Greater),16+CHA													SOURCEPAGE:LoM										
Greater Hexblade's Curse	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:EXPORT	DESC:%1/day %2 penalty (Will DC %3)|HexbladeCursePerDay|HexbladeCursePenalty|HexbladeCurseDC							BONUS:VAR|HexbladeCursePenalty|2|PREVARGTEQ:HexbladeGreaterCursePower,1																					SOURCEPAGE:CW										
Greater Improvised Weapons	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Greater Permanent Item Drain	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Greater Psionic Focus	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:+2 DC psionics innate power.																												SOURCEPAGE:SS										
Greater Spellsong	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Greater Teleport (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:GreaterTeleportPerDay|0	DEFINE:GreaterTeleportLVL|0										SPELLS:Innate|TIMES=GreaterTeleportPerDay|CASTERLEVEL=GreaterTeleportLVL|Teleport (Greater),17+CHA													SOURCEPAGE:LoM										
Greater Tunnelport (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:GreaterTunnelportPerDay|0	DEFINE:GreaterTunnelportLVL|0		BONUS:VAR|GreaterTeleportPerDay|GreaterTunnelportPerDay	BONUS:VAR|GreaterTeleportLVL|2*GreaterTunnelportLVL							ABILITY:Special Ability|VIRTUAL|Greater Teleport (Sp)													SOURCEPAGE:LoM										
Greater Two Swords as One	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																VFEAT:Greater Two Weapon Fighting|PREEQUIP:2,Sword (Katana),Sword (Wakizashi)													SOURCEPAGE:CW										
Greater Weapon Afrost	CATEGORY:Special Ability	TYPE:PsiLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Greensickness	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Grind	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:1d6+%|STR																												SOURCEPAGE:Nep										
Grotesque Form	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Growth (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:GrowthPerDay|0	DEFINE:GrowthLVL|0											SPELLS:Innate|TIMES=GrowthPerDay|CASTERLEVEL=GrowthLVL|Animal Growth,10												SOURCEPAGE:MM2										
Guard MM2	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+4 deflection bonus when the guardian is within 5-ft of its master	OUTPUTNAME:Guard	SERVESAS:ABILITY=Special Ability|Guard																										SOURCEPAGE:MM2										
Guarded Thoughts (Su)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Guardian Soul	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 bonus on Initiative rolls, Saves, Listen and Spot checks.|GuardianSoulBonus				DEFINE:GuardianSoulBonus|CHA			BONUS:COMBAT|INITIATIVE|GuardianSoulBonus	BONUS:CHECKS|ALL|GuardianSoulBonus	BONUS:SKILL|Listen,Spot|GuardianSoulBonus																			SOURCEPAGE:MM3										
Guide Magic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Guise of the Sickly	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:SKILLRANK|Disguise (Mendicant)|SKILLRANK=Disguise|PRESKILL:1,Disguise=1		BONUS:SKILL|Disguise (Mendicant)|2																			SOURCEPAGE:DD										
Gulp	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Half Fey Spell-Like	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO				PREMULT:1,[PRESTAT:1,CHA=8],[PRESTAT:1,WIS=8]												TEMPLATE:Half Fey Spell Like 1|Half Fey Spell Like 2|Half Fey Spell Like 3|Half Fey Spell Like 4|Half Fey Spell Like 5|Half Fey Spell Like 6|Half Fey Spell Like 7|Half Fey Spell Like 8|Half Fey Spell Like 9|Half Fey Spell Like 10													SOURCEPAGE:FFo										
Half Illithid Spell-Like	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO				PREMULT:1,[PRESTAT:1,INT=8],[PRESTAT:1,WIS=8]												TEMPLATE:Half Illithid Spell Like 1|Half Illithid Spell Like 2|Half Illithid Spell Like 3|Half Illithid Spell Like 4													SOURCEPAGE:FFo										
Half-Dragon Breath Weapon ~ Cone of Brilliant Light	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Sonic Energy %1/day 6d8 + blind (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Cone of Dehydratation	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Dehydratation %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Cone of Fire and Sonic	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Fire and Sonic Energy %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Cone of Force	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Force %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Cone of Shadows	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Shadows %1/day 1 negative level (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Cone of Sonic Energy	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:30' Cone of Sonic Energy %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Line of Concussive Force	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:60' Line of Concussive Force %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Breath Weapon ~ Line of Random Energy	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	DESC:60' Line of Random Energy %1/day 6d8 (DC %2)|HalfDragonBreathTimes|HalfDragonBreathDC	OUTPUTNAME:Breath Weapon			DEFINE:HalfDragonBreathTimes|1	DEFINE:HalfDragonBreathDC|0			BONUS:VAR|HalfDragonBreathDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:Drac										
Half-Dragon Withering	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:%1/days Bite attack deals 1d4 points of CON damage (Fort DC %2).|HalfDragonBreathTimes|HalfDragonBreathDC				DEFINE:HalfDragonBreathTimes|3	DEFINE:HalfDragonBreathDC|0																							SOURCEPAGE:Drac										
Hallucinogen	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:Fort  DC %1|HallucinogenDC				DEFINE:HallucinogenDC|10+(HD/2)+CON																								SOURCEPAGE:FFo										
Hammer Return	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Hammer Throw	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Handle Animal Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1 competence bonus to Handle Animal skill|HandleAnimalBonus				DEFINE:HandleAnimalBonus|0			BONUS:SKILL|Handle Animal|HandleAnimalBonus|TYPE=Competence																					SOURCEPAGE:CAd										
Hands of Death	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES								BONUS:CHECKS|Reflex,Fortitude,Will|CHA																					SOURCEPAGE:RLCoD										
Hard to Hold	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack.AttackOption	VISIBLE:YES					DEFINE:HardToHoldBonus|0			BONUS:COMBAT|TOHIT.GRAPPLE|HardToHoldBonus																					SOURCEPAGE:LoM										
Harper Knowledge	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality.Lore	VISIBLE:YES	DESC:+%1|HarperKnowledge				DEFINE:HarperKnowledge|INT			BONUS:VAR|HarperKnowledge|BardicKnowledge+SecretLore																					SOURCEPAGE:PGtF										
Harper Skill Focus	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:skill focus feat for her perform skills and any other harper scout class skill.							ADD:FEAT|1|Harper Skill Focus																					SOURCEPAGE:PGtF										
Harpooning	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack.AttackOption	VISIBLE:YES																													SOURCEPAGE:MM3										
Haste (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Haste				DEFINE:HasteTimes|0	DEFINE:HasteLVL|0										SPELLS:Innate|TIMES=HasteTimes|CASTERLEVEL=HasteLVL|Haste,13+WIS													SOURCEPAGE:CD										
Haste (Su)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Haste		DESC:1/day																										SOURCEPAGE:PGtF										
Heal (Sp/self)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:self only				DEFINE:HealPerDay|0	DEFINE:HealLVL|0										SPELLS:Innate|TIMES=HealPerDay|CASTERLEVEL=HealLVL|Heal,16+CHA													SOURCEPAGE:Mon										
Healing Cold	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Healing Fire	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Healing from Fire	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Healing Hands	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary	VISIBLE:YES	DESC:+%1 hp/day|HealingHands|PREVARGT:HealingHands,0			DEFINE:HealingHands|0	DEFINE:HealingHandsLVL|0			BONUS:VAR|HealingHands|2*HealingHandsLVL*max(WIS,0)																					SOURCEPAGE:DD										
Healing Resistance	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality.Resistance	VISIBLE:YES																													SOURCEPAGE:PH										
Healing Touch	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1/day|HealingTouchPerDay				DEFINE:HealingTouchPerDay|0																								SOURCEPAGE:Drac										
Healing Touch (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Heart Rip	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Heat Draining Aura	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack.Aura	VISIBLE:YES	DESC:Fort DC %|HeatDrainingAuraDC				DEFINE:HeatDrainingAuraDC|10+(HD/2)+CHA																								SOURCEPAGE:LM										
Heat Sense	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Sense	VISIBLE:YES																													SOURCEPAGE:Fro										
Heat Shimmer	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:free action at will like Blur effect.																												SOURCEPAGE:MM3										
Heavenly Deflection	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Heighten Chaos	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES								BONUS:VAR|ImbuePelletDC|2																					SOURCEPAGE:SS										
Heightened Senses	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES					DEFINE:HeightenedSensesBonus|0			BONUS:SKILL|Listen,Search,Sense Motive,Spot|HeightenedSensesBonus																					SOURCEPAGE:PH										
Hellfire	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES	DESC:+%1d%2 Hellfire|Hellfire|HellfireDie				DEFINE:Hellfire|0	DEFINE:HellfireDie|6																							SOURCEPAGE:FFo										
Hellfire (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:HellfirePerDay|0	DEFINE:HellfireLVL|0										SPELLS:Innate|TIMES=HellfirePerDay|CASTERLEVEL=HellfireLVL|Hellfire,14+CHA													SOURCEPAGE:BoVD										
Hellfire Blast	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:+%1d%2|HellfireBlast|HellfireBlastDie				DEFINE:HellfireBlastDie|6	DEFINE:HellfireBlast|0										NATURALATTACKS:Hellfire Blast,Weapon.Natural.Ranged.Touch.Spell,*1,0													SOURCEPAGE:BoVD	ASPECT:Ability Benefit|+%1d%2|HellfireBlast|HellfireBlastDie									
